time,portfolio_value
0,9912.134713820382
1,9941.03385810726
2,9864.442920919731
3,9808.912301200566
4,9870.007536009314
5,9865.235176960752
6,9781.209834727106
7,9703.211021460062
8,9678.095739794438
9,9634.779274418788
10,9719.18150689956
11,9841.861291089233
12,9813.110651758787
13,9792.361916794784
14,9910.654701813562
15,10029.56322624331
16,10002.760830717354
17,10354.577545215123
18,10282.310245867753
19,10298.676747737905
20,10261.341040513551
21,10266.458549942747
22,10255.944954233975
23,10495.15853789606
24,10485.25547012007
25,10412.338769399545
26,10393.7310069077
27,10401.581133445425
28,10248.926977106958
29,10169.220359954461
30,10216.748371155678
31,10224.724068384041
32,10344.905798395259
33,10515.697757877077
34,10541.363315650278
35,10543.045905718378
36,10419.237861175814
37,10414.598299457319
38,10286.071957690312
39,10334.305141353716
40,10222.461096335483
41,10294.10051457095
42,10226.509087648948
43,10238.05689141472
44,10283.572751234322
45,10219.47002865455
46,10188.441597707606
47,10188.17409387723
48,10288.162009708285
49,10407.728376572497
50,10799.119515480377
51,10647.404132300135
52,10695.243164630583
53,10868.275691158986
54,10804.824483882127
55,10839.442494782857
56,10949.723868660772
57,10993.15974946417
58,11110.885413232696
59,11257.013580225288
60,11044.864022091773
61,11229.539711170031
62,11148.577229420282
63,11176.492721692757
64,11084.622792651668
65,11035.933492456252
66,11167.649339340305
67,11338.432247302308
68,11052.043222896242
69,11109.921376534328
70,11005.88077817736
71,10946.57475714172
72,11125.939538713608
73,10987.208864337883
74,10946.203329509273
75,10883.31315300971
76,10828.616375688147
77,10814.939713420072
78,10676.99617252127
79,10546.506585239356
80,10522.453352524497
81,10482.641727505137
82,10468.591028557303
83,10530.347921881086
84,10605.569132355122
85,10675.545542950425
86,10423.293894967346
87,10508.894217153122
88,10460.600110419839
89,10383.279646231722
90,10412.99660814054
91,10444.49066396745
92,10404.276916358282
93,10367.07669106975
94,10309.762731625071
95,10221.885303903004
96,10175.557311503724
97,10165.744871975901
98,10109.125073744346
99,10206.174495107341
100,10233.34274437219
101,10345.817129053232
102,10361.144941377974
103,10269.50448914025
104,10181.964304945368
105,10161.61055829978
106,10090.534608087873
107,10115.395998906168
108,10227.193474821968
109,10233.847706545877
110,10166.762276367543
111,10071.052608505104
112,10104.79298847172
113,10129.088450605146
114,10100.51427818132
115,10053.548356811332
116,10027.00130361801
117,10082.363549377358
118,10013.568164771115
119,9860.743334091909
120,10008.309137351025
121,9890.691022185878
122,9924.63510474132
123,9905.704372666545
124,9861.419345732731
125,9792.837205803427
126,9739.843833332021
127,9705.050595815786
128,9713.53681211925
129,9684.243983058645
130,9719.539670477656
131,9629.469758082027
132,9616.467225186354
133,9721.039091232646
134,9736.271201577085
135,9809.06219069128
136,9681.449410478312
137,9752.21450068695
138,9760.935717573278
139,9734.383734548413
140,9660.474752856044
141,9632.39876976706
142,9564.159433392531
143,9507.50302099509
144,9512.891786585105
145,9404.31885520786
146,9435.848776593051
147,9417.852524316166
148,9400.754793669412
149,9478.56835006641
150,9490.610440311153
151,9786.071342047773
152,9769.081150034817
153,9752.975453939584
154,9684.803320089244
155,9648.39826396396
156,9624.858350568049
157,9455.371313533113
158,8854.473894842531
159,8816.482702097286
160,8684.10550721953
161,8496.644669775937
162,8481.340681813876
163,8442.57969933685
164,8301.820204710144
165,8394.65866905114
166,8246.986433188269
